ID,Назва,Бренд,Місто,Область,Адреса,Координати,Послуги,График,Мийка,Кафе,Магазин,Типи_палива,Електрозарядка
757,"OKKO #758","OKKO","Краматорськ","Донецька","вул. Франка, 152, Краматорськ","47.263220, 38.636864","магазин","24/7",Так,Так,Так,"А-95, А-92, ДП",Ні
1273,"UPG #1274","UPG","Ківерці","Волинська","вул. Франка, 88, Ківерці","50.187165, 32.136206","кафе, магазин","05:00-21:00",Так,Так,Ні,"А-95, ДП",Ні
683,"УКРНАФТА #684","УКРНАФТА","Токмак","Запорізька","вул. Шевченка, 89, Токмак","47.977923, 34.583627","мийка, кафе, магазин","24/7",Так,Так,Так,"А-95, А-92, ДП, Газ",Ні
705,"УКРНАФТА #706","УКРНАФТА","Запоріжжя","Запорізька","вул. Шевченка, 198, Запоріжжя","47.916454, 35.497707","мийка, шиномонтаж","07:00-23:00",Так,Так,Так,"А-95, А-92, ДП",Ні
421,"Shell #422","Shell","Жовті Води","Дніпропетровська","пр. Миру, 57, Жовті Води","47.676994, 35.553088","магазин","07:00-23:00",Так,Так,Так,"А-95, ДП, А-98",Ні
612,"OKKO #613","OKKO","Трускавець","Львівська","вул. Франка, 71, Трускавець","49.525265, 24.626509","","06:00-22:00",Так,Так,Так,"А-95, Газ",Ні
522,"OKKO #523","OKKO","Нікополь","Дніпропетровська","вул. Франка, 157, Нікополь","47.918778, 33.977692","магазин, шиномонтаж","07:00-23:00",Так,Так,Так,"А-95, А-92, ДП",Ні
613,"OKKO #614","OKKO","Борислав","Львівська","вул. Центральна, 1, Борислав","49.459077, 23.879741","мийка, магазин","24/7",Так,Так,Так,"А-95, А-92, ДП",Ні
431,"OKKO #432","OKKO","Нікополь","Дніпропетровська","вул. Франка, 107, Нікополь","48.899982, 34.623431","","24/7",Так,Так,Так,"А-95, А-92, ДП, А-98, Газ",Ні
412,"WOG #413","WOG","Кривий Ріг","Дніпропетровська","пр. Незалежності, 48, Кривий Ріг","47.602258, 35.576294","кафе, магазин","24/7",Так,Так,Так,"А-95, А-92, ДП, А-98",Ні
